model,threshold,accuracy,precision,recall,f1,f2
transformer,0.38,0.8333226447765023,0.9839766933721777,0.34394093686354377,0.509715148085267,0.39537606087211
transformer,0.39,0.8324248060026935,0.9845246868091379,0.34012219959266804,0.5055818353831599,0.3913527447419298
transformer,0.4,0.8318476239338165,0.9844213649851632,0.33783095723014256,0.5030326004548901,0.38892145369284875
transformer,0.41,0.8308856538190214,0.9849737039819685,0.33375763747454174,0.49857387335995434,0.38461538461538464
transformer,0.42,0.8303726030911306,0.9848828420256992,0.33172097759674135,0.49628642163397446,0.3824479013795128
transformer,0.43,0.8287051882254858,0.9845797995373939,0.32510183299389,0.4888038277511962,0.37538949967664176
transformer,0.44,0.8267171166549092,0.9857369255150554,0.3167006109979633,0.479383429672447,0.36644279486273124
transformer,0.45,0.8231257615596742,0.9850746268656716,0.3024439918533605,0.46279703934553956,0.3511053315994798
transformer,0.46,0.8129288783428461,0.9828080229226361,0.2619653767820774,0.4136683417085427,0.30699922429739246
transformer,0.47,0.8074777143590073,0.9812889812889813,0.24032586558044808,0.38609406952965236,0.2830754468034065
transformer,0.48,0.8051048547425127,0.9805405405405405,0.23090631364562117,0.37378940861322896,0.27258520165895295
transformer,0.49,0.8017058936702366,0.9793577981651376,0.2174134419551935,0.35583333333333333,0.25747708634828753
transformer,0.5,0.7974732251651382,0.9776674937965261,0.20061099796334012,0.3329108576256865,0.2385276667877467
transformer,0.55,0.7775283781183865,0.9655172413793104,0.12118126272912423,0.21533589685591495,0.1468682505399568
transformer,0.6,0.7715641634066568,0.9597989949748744,0.09725050916496945,0.17660656495607951,0.11855990068280571
transformer,0.65,0.7712435067017251,0.9592875318066157,0.09597759674134419,0.174496644295302,0.1170443961502639
transformer,0.7,0.7707304559738344,0.963254593175853,0.09343177189409368,0.17034114643768855,0.11402473124961163
transformer,0.75,0.77028153658693,0.970108695652174,0.09088594704684318,0.16620111731843576,0.11100746268656717
transformer,0.8,0.7699608798819984,0.9696969696969697,0.08961303462321792,0.16406432067117221,0.10948678071539658
transformer,0.85,0.7679728083114218,0.9668674698795181,0.08172097759674135,0.15070422535211267,0.10003739715781601
transformer,0.9,0.7637401398063234,0.9586466165413534,0.06491853360488799,0.12160228898426323,0.07979722117912129
transformer,0.95,0.7557878535240172,0.9347826086956522,0.03284114052953157,0.06345302508607968,0.04069400630914827
xgboost,0.05,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
xgboost,0.1,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
xgboost,0.15,0.2522285640992753,0.25198870926353606,1.0,0.4025415044066407,0.6274760383386582
xgboost,0.2,0.25261335214519337,0.2520857399563599,1.0,0.4026652998462327,0.6275963443471592
xgboost,0.21,0.2528057461681524,0.2520387850767354,0.9992362525458248,0.402543459309779,0.6272974268818923
xgboost,0.22,0.25306227153209776,0.25210353908407734,0.9992362525458248,0.4026260450325691,0.6273776413797513
xgboost,0.23,0.25357532225998847,0.25223314696998905,0.9992362525458248,0.4027913181794859,0.6275381319348959
xgboost,0.24,0.25562752517155135,0.2527529139030202,0.9992362525458248,0.40345376985146736,0.6281809161038379
xgboost,0.25,0.25947540563073174,0.25366957646298094,0.9987270875763747,0.40457897179394625,0.6291496936844468
xgboost,0.26,0.2624254473161034,0.25433075974826447,0.9979633401221996,0.4053564965617083,0.629718875502008
xgboost,0.27,0.2685179247098057,0.2558443254538331,0.9974541751527495,0.4072341752416589,0.6314059176174821
xgboost,0.28,0.28339639581863657,0.25936503719447396,0.9941446028513238,0.4113990729034977,0.6345878835153406
xgboost,0.29,0.2916052074648881,0.2607877402876731,0.9877800407331976,0.4126342656598958,0.6341941811049363
xgboost,0.3,0.30084012056692105,0.26083676268861455,0.9681771894093686,0.4109574238167279,0.6277234913508517
xgboost,0.31,0.30366189957032,0.2581320675694541,0.9414460285132383,0.40517146926701,0.6155536320660496
xgboost,0.32,0.3049445263900468,0.2564843529743445,0.9264256619144603,0.40174431441819386,0.6085284280936455
xgboost,0.33,0.3055858397999102,0.25514549325762953,0.915224032586558,0.39904539904539904,0.603147439769143
xgboost,0.34,0.30545757711793753,0.25388674939380973,0.9063136456211812,0.3966573816155989,0.598641286069819
xgboost,0.35,0.3049445263900468,0.25215208034433284,0.894857433808554,0.39344078800089544,0.592708754890058
xgboost,0.36,0.30436734432116974,0.24998193249981931,0.8806008146639511,0.3894173937517591,0.5852989948898439
xgboost,0.37,0.3087924068492272,0.25065521258008155,0.8765274949083504,0.3898324275362319,0.5845897853844064
xgboost,0.38,0.31219136792150326,0.2511168070303918,0.8729633401221996,0.39003583006312914,0.5838185718663806
xgboost,0.39,0.31834797665619186,0.2525297289312357,0.870417515274949,0.3914810786053701,0.5844244641208848
xgboost,0.4,0.33207208362726864,0.25603610379842046,0.8665987780040734,0.3952853742089067,0.586754921225911
xgboost,0.41,0.35823767074969537,0.26388565214013826,0.8648167006109979,0.4043806916254985,0.5941927584397412
xgboost,0.42,0.37241069710767655,0.26823864535527775,0.8630346232179226,0.40927200289750093,0.5978835978835979
xgboost,0.43,0.3824793176425319,0.27150300601202404,0.8622708757637475,0.4129732366030604,0.6008088835278674
xgboost,0.44,0.3938305649971141,0.27519127462152043,0.8607433808553971,0.41704699642284443,0.6037931280805772
xgboost,0.45,0.4076188033091772,0.2799469452043439,0.859725050916497,0.42236257895065976,0.6079207920792079
xgboost,0.46,0.41557108959148337,0.28259958071278823,0.8579429735234216,0.42515612186967766,0.6096899084560553
xgboost,0.47,0.421920092349131,0.28467400508044033,0.8559063136456212,0.4272461558012454,0.6107840999927331
xgboost,0.48,0.4273712563329699,0.2866649603276171,0.8553971486761711,0.4294204102498562,0.6124011227353917
xgboost,0.49,0.43218110690694544,0.2884020618556701,0.8546334012219959,0.4312692702980473,0.6136662766890904
xgboost,0.5,0.4382094529596614,0.2905323391711462,0.8531059063136456,0.4334497477687233,0.6149526536005285
xgboost,0.55,0.47681652023343807,0.30358469539375926,0.8322301425661914,0.4448829613500272,0.6172583081570997
xgboost,0.6,0.5212595395369717,0.316374208285744,0.7757128309572301,0.44944317427538905,0.6011521919267648
xgboost,0.65,0.556595908420445,0.3308406979379107,0.7433808553971487,0.45789556217657207,0.5949955171570626
xgboost,0.7,0.5859039312512024,0.33736334405144697,0.6677698574338086,0.4482611296248825,0.5583940051943629
xgboost,0.75,0.6179696017443724,0.35265068990559184,0.6181262729124236,0.44908905946545824,0.5372394565650308
xgboost,0.8,0.6586930032706984,0.37746132208157523,0.5465885947046843,0.44654742096505823,0.5016355140186916
xgboost,0.85,0.7260309113063554,0.46,0.5035641547861507,0.48079727758872143,0.49420347791325203
xgboost,0.9,0.7881741807221189,0.6098418277680141,0.4417006109979633,0.5123283626162705,0.4674785795117745
xgboost,0.95,0.8083114217918297,0.8414545454545455,0.2945519348268839,0.4363567791815953,0.33856147948732956
weighted_avg,0.05,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
weighted_avg,0.1,0.2519079073943436,0.2519079073943436,1.0,0.40243839967214795,0.6273758185593356
