split_num,train_end,test_start,test_end,n_train,n_test,positive_rate,source,name,accuracy,precision,recall,f1,auc,imputation_method
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,gru,0.718497576736672,0.8990825688073395,0.125,0.21948488241881298,0.690784514160274,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,transformer,0.6833602584814217,0.0,0.0,0.0,0.4135359374246152,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,xgboost,0.7059773828756059,0.5440251572327044,0.4413265306122449,0.48732394366197185,0.6652177715057653,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,soft_vote,0.6849757673667205,0.55,0.02806122448979592,0.05339805825242718,0.655343875138708,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,weighted_avg,0.694264943457189,0.6956521739130435,0.061224489795918366,0.11254396248534584,0.668693009118541,hybrid_adaptive
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,stacked,0.7734248788368336,0.8562300319488818,0.34183673469387754,0.4886052871467639,0.6348927425580161,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,lstm,0.5427316293929713,0.0,0.0,0.0,0.5822595269654953,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,gru,0.5523162939297125,0.0,0.0,0.0,0.5846185098339789,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,transformer,0.6042332268370607,0.5313479623824452,0.3288069835111542,0.40623127621330135,0.5605555676275776,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,xgboost,0.619408945686901,0.5590909090909091,0.35790494665373423,0.436428149024246,0.6230839231613596,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,soft_vote,0.5595047923322684,0.39221556886227543,0.1270611057225994,0.19194139194139195,0.5893749962960841,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,weighted_avg,0.5579073482428115,0.38484848484848483,0.12318137730358875,0.1866274797942689,0.590568151064456,hybrid_adaptive
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,stacked,0.5375399361022364,0.3925549915397631,0.22502424830261883,0.28606658446362515,0.5176974746866159,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,lstm,0.7646825396825396,0.0,0.0,0.0,0.8685608172145014,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,gru,0.7686507936507937,1.0,0.016863406408094434,0.03316749585406302,0.8227714619006906,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,transformer,0.7599206349206349,0.0,0.0,0.0,0.8103982546768168,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,xgboost,0.609920634920635,0.3464566929133858,0.7419898819561551,0.4723564143853999,0.7654315045536448,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,soft_vote,0.8396825396825397,0.895397489539749,0.3608768971332209,0.5144230769230769,0.8118351884247198,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,weighted_avg,0.834920634920635,0.9359605911330049,0.32040472175379425,0.47738693467336685,0.8148858285253228,hybrid_adaptive
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,stacked,0.4865079365079365,0.30164119977362763,0.8988195615514334,0.4516949152542373,0.8118316879771,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,lstm,0.749913284772806,0.0,0.0,0.0,0.9460977083683496,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,gru,0.749913284772806,0.0,0.0,0.0,0.9636008935066801,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,transformer,0.8172043010752689,0.5893186003683242,0.8876560332871013,0.7083563918096292,0.9260037515989842,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,xgboost,0.6472424557752341,0.41304347826086957,0.9750346740638003,0.5802723895996699,0.9369727521519731,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,soft_vote,0.9198751300728408,0.811704834605598,0.8848821081830791,0.8467153284671532,0.977745730374993,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,weighted_avg,0.9209157127991675,0.8172458172458172,0.8807212205270458,0.8477970627503337,0.9781235846502634,hybrid_adaptive
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,stacked,0.3343739160596601,0.27310606060606063,1.0,0.42903897649509076,0.9724660348139149,hybrid_adaptive
