mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,eof_pca,EOF/PCA Spatial Modes,thetao,Gigantes Polygon,0.67343309807393,0.49600733582458867,-2.4921577531929637,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,thetao,Roxas Polygon,0.7169904397345259,0.526698958899352,0.7333699931543256,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,uo,Gigantes Polygon,0.02548158128451539,0.018960677732893488,0.9470068914956364,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,uo,Roxas Polygon,0.04705865882707136,0.03279374043942592,0.6768472556070264,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,vo,Gigantes Polygon,0.07561002037456142,0.05551006431945119,-0.5218246867088974,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,vo,Roxas Polygon,0.009833806178363252,0.0077591715888988355,0.7801939132349811,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,NDVI_daily,Gigantes Polygon,0.22035656657916738,0.12421212643666092,-0.32428245158912805,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,NDVI_daily,Roxas Polygon,0.1385491176123497,0.1061015137738667,-0.08641788800720529,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,NDVI_raw,Gigantes Polygon,0.021841768124025617,0.01890116664350397,0.7842354990380629,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,NDVI_raw,Roxas Polygon,0.0001627966935622005,0.0001627966935622005,,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,precip_mm_day,Gigantes Polygon,5.813986291682484,4.3543438119152515,0.45202175808745293,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,precip_mm_day,Roxas Polygon,7.200881531644826,4.527452154662067,-0.38424482991287046,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_speed_ms,Gigantes Polygon,1.0588799467619998,0.6957627079456749,0.7776457394824058,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_speed_ms,Roxas Polygon,0.9831668791419222,0.7032127236087232,0.3582225432073176,56
block_14day,0,eof_pca,EOF/PCA Spatial Modes,wind_u_ms,Gigantes Polygon,0.9979469856709174,0.7695705992040108,0.89145440016631,56
