mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6876078128814695,0.06597181475183118,0.06473364830017089,0.0019228916499764385,0.7,50,500,5,4,0.2,0.3,0.8,"{'subsample': 0.7, 'scale_pos_weight': 50, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.91255767829677,0.9110612992702225,0.9008587424898415,0.9284337856657059,0.9154751109239887,0.9136773233293057,0.008870156960681755,46
0.36548309326171874,0.03885901195795315,0.017214298248291016,0.0032935496501365147,0.6,5,50,7,4,0.1,0.3,0.9,"{'subsample': 0.6, 'scale_pos_weight': 5, 'n_estimators': 50, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9149862381607707,0.9232321061196918,0.9179946981095382,0.9243125951355378,0.9300075703598147,0.9221066415770707,0.005218540046025203,22
0.5026599884033203,0.03195165930860603,0.0176943302154541,0.0007257987960742352,0.6,5,50,3,7,0.01,0.2,0.7,"{'subsample': 0.6, 'scale_pos_weight': 5, 'n_estimators': 50, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.9174755120213712,0.9159875538633176,0.9235238124481837,0.92747838196716,0.9245494218997959,0.9218029364399657,0.00436487239585074,26
2.7772390842437744,0.10709485981157982,0.08894634246826172,0.005631973321127579,0.7,100,500,7,5,0.05,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 100, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9134946976442969,0.9197695008239425,0.913366291030798,0.9342390776305989,0.9290025747320011,0.9219744283723275,0.008374771995530115,24
2.664135217666626,0.09052479236883863,0.08406386375427247,0.00344925522671906,0.7,5,500,7,5,0.2,0.4,0.8,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.4, 'colsample_bytree': 0.8}",0.9136120780377236,0.92249618734711,0.9251942150029171,0.9263914078440264,0.9161633254526024,0.9207714427368758,0.005032115143644323,32
1.3789912223815919,0.07966699053300755,0.06608467102050782,0.004643866969789117,1.0,5,500,7,4,0.2,0.2,0.8,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9136667206346637,0.9181953101810627,0.9249997441172557,0.9298587945720115,0.926595848042232,0.9226632835094453,0.005892375083969642,16
0.47166128158569337,0.021362984254471598,0.03065667152404785,0.004940852596616346,1.0,20,100,1,6,0.01,0.4,1.0,"{'subsample': 1.0, 'scale_pos_weight': 20, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.9191238970290617,0.9192638765212229,0.9160725069344223,0.9313394678887198,0.9303597742656345,0.9232319045278123,0.006331146127228449,10
1.0664977073669433,0.00929179982067927,0.03264541625976562,0.004922704208079678,0.6,20,100,3,8,0.2,0.2,0.9,"{'subsample': 0.6, 'scale_pos_weight': 20, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.916467659677811,0.9228851291184329,0.9203795252863328,0.9344880493571267,0.926852916410273,0.9242146559699952,0.006148086700728973,7
3.7457730293273928,0.054169657785110306,0.18114500045776366,0.06560925718198778,0.6,10,500,1,6,0.2,0.0,0.8,"{'subsample': 0.6, 'scale_pos_weight': 10, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.9055027118918482,0.9079436239137778,0.9104594630556494,0.9223886306959872,0.9047592058814004,0.9102107270877327,0.006409172383745045,48
2.2315602779388426,0.1816927358302035,0.06878414154052734,0.00748001147119264,0.8,1,500,5,4,0.01,0.4,1.0,"{'subsample': 0.8, 'scale_pos_weight': 1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.9168562292560511,0.9216343742643371,0.9226824699849541,0.9294195517699259,0.9290673478641059,0.923931994627875,0.004762183596071302,9
2.186422252655029,0.3024593238607947,0.0611358642578125,0.0011301036182837267,0.9,10,300,1,6,0.05,0.0,0.8,"{'subsample': 0.9, 'scale_pos_weight': 10, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.9133388650530235,0.9166047430425482,0.9195115710176969,0.9320125012144962,0.930053113968326,0.9223041588592181,0.007415613219492582,21
0.3451359272003174,0.08161579231924276,0.02736492156982422,0.016716819269891887,0.9,50,50,5,4,0.01,0.4,0.7,"{'subsample': 0.9, 'scale_pos_weight': 50, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.9186685420545617,0.9189394172014616,0.908888343005701,0.9183737085856787,0.9218178174693138,0.9173375656633432,0.004401659651153789,42
1.1888927936553955,0.0768431547894401,0.03275485038757324,0.007646288792295894,0.8,20,100,5,7,0.01,0.0,0.6,"{'subsample': 0.8, 'scale_pos_weight': 20, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",0.916012304703311,0.9202505603832101,0.9101872038157235,0.9216103410305406,0.9187238883311202,0.9173568596527811,0.004038469214681043,41
1.9694989204406739,0.07093664085209665,0.058901643753051756,0.004703961449567068,0.6,20,300,3,5,0.1,0.3,0.7,"{'subsample': 0.6, 'scale_pos_weight': 20, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.9095928114628026,0.9197879243815313,0.9216425625121545,0.9336399261586295,0.9252234673057615,0.9219773383641758,0.007808142188742117,23
0.35189204216003417,0.020513849582651626,0.016916513442993164,0.0018893359135618252,0.6,100,50,5,4,0.1,0.4,0.6,"{'subsample': 0.6, 'scale_pos_weight': 100, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.9141969562049704,0.917273108770637,0.9098924268943,0.9268023124008162,0.9246678352819251,0.9185665279105297,0.006341296653081435,38
0.9612065315246582,0.030843416536279245,0.030937862396240235,0.0026009250112833397,0.7,50,200,5,3,0.01,0.4,0.7,"{'subsample': 0.7, 'scale_pos_weight': 50, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.9155964138266008,0.9158330006857658,0.9104195453475399,0.9192440975483369,0.9215222900540856,0.9165230694924658,0.0037678665733625306,45
0.5867223739624023,0.03430589098419588,0.026912450790405273,0.0019468371940671316,1.0,50,100,1,6,0.2,0.0,0.7,"{'subsample': 1.0, 'scale_pos_weight': 50, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.9142961223994172,0.918631334377335,0.9163365779265309,0.929413479288791,0.9278710690805454,0.9213097166145239,0.006161471566061018,29
1.5136813640594482,0.024087614907343683,0.05493264198303223,0.007347619537938842,0.6,100,200,3,7,0.1,0.4,0.6,"{'subsample': 0.6, 'scale_pos_weight': 100, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.6}",0.913731482231037,0.920467548950369,0.9157081299065516,0.9332836739320529,0.9253651585322409,0.9217111987104503,0.0070502904906929835,27
2.966248798370361,0.08354075010212446,0.09381885528564453,0.004800217068838348,0.6,10,500,5,6,0.01,0.2,1.0,"{'subsample': 0.6, 'scale_pos_weight': 10, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9168278960576379,0.9201748190908998,0.9207193375707516,0.9336581436020339,0.9299620267513036,0.9242684446145255,0.0064077924152940785,6
3.2823607444763185,0.08220572564280802,0.0820394515991211,0.0060928894775833745,0.8,100,500,1,5,0.2,0.2,1.0,"{'subsample': 0.8, 'scale_pos_weight': 100, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9005484497692867,0.9155443649502052,0.9062793625449074,0.9242660394468376,0.8998931243320272,0.9093062682086528,0.00935069436792752,49
0.7212193965911865,0.017701366978744713,0.027577638626098633,0.0023938371290839946,0.7,50,100,5,7,0.01,0.2,0.6,"{'subsample': 0.7, 'scale_pos_weight': 50, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9144195741925039,0.9226671170202967,0.905904750207265,0.9221305502477573,0.9199039738316546,0.9170051930998955,0.006271121999310458,44
1.4907151222229005,0.053282435640173195,0.05652365684509277,0.0041596211502607176,0.9,100,200,7,8,0.2,0.3,0.9,"{'subsample': 0.9, 'scale_pos_weight': 100, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9107362583987694,0.9176978741261604,0.9265227582112772,0.930591540628947,0.9163394274055122,0.9203775717541334,0.0071906993977319065,34
0.47249574661254884,0.015006678505072753,0.0209409236907959,0.004033750089469359,0.7,5,100,1,3,0.01,0.3,1.0,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.9259299360479235,0.9209363261379105,0.9209230202352074,0.9247963694659456,0.9294236000906824,0.9244018503955338,0.0032193408866801935,5
2.1532347202301025,0.08816900756860648,0.05347905158996582,0.0019903566859884006,0.6,50,500,3,3,0.05,0.0,0.6,"{'subsample': 0.6, 'scale_pos_weight': 50, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9177770582044846,0.9164491663340191,0.9138350682183396,0.9306340479968908,0.92921511157172,0.9215820904650908,0.006943233838824771,28
0.6890744686126709,0.017354278438323944,0.026986122131347656,0.00218082635506716,0.7,100,100,3,6,0.2,0.2,0.6,"{'subsample': 0.7, 'scale_pos_weight': 100, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9124463693030034,0.915945589093254,0.9066068924576002,0.9293810927227385,0.9254137383813195,0.9179587363915832,0.00835883475717029,39
0.6527733325958252,0.020126043450716915,0.022701501846313477,0.0008000314526776294,0.6,10,100,1,5,0.2,0.2,0.9,"{'subsample': 0.6, 'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9142212418036104,0.922985435154195,0.9222689634701795,0.9282273213071217,0.928257683712796,0.9231921290895805,0.005145576355467224,11
1.318335771560669,0.031251943028458455,0.035492658615112305,0.0032379032606632873,0.8,20,300,3,3,0.05,0.4,1.0,"{'subsample': 0.8, 'scale_pos_weight': 20, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 1.0}",0.9174289646239779,0.9215135976090316,0.919214747034319,0.9336115879133335,0.9351469135602553,0.9253831621481835,0.007474355694011481,1
0.849244499206543,0.05723685199572513,0.03230266571044922,0.004342597155105266,1.0,5,300,1,5,0.2,0.4,0.7,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.9164534930786045,0.9169834495040993,0.9212270089354254,0.9330286297243903,0.9276605564012047,0.9230706275287448,0.0063948164779814515,12
0.468522834777832,0.04504956756735834,0.011355972290039063,0.00465496045145926,0.7,5,100,5,4,0.2,0.3,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9155529021290374,0.9172516146201166,0.9172986970450662,0.9305692748647861,0.9236972503805422,0.9208739478079098,0.005589054428321118,31
