mask_type,split_num,method,method_name,variable,rmse,mae,r2,missing_count
random_10,,linear_interpolation,Linear Interpolation,thetao,0.1256980903313512,0.08694903108176505,0.9899550044352967,292
random_10,,linear_interpolation,Linear Interpolation,uo,0.025645976000015922,0.018140745495943578,0.9290373769379221,292
random_10,,linear_interpolation,Linear Interpolation,vo,0.025490620579258466,0.014988211340793997,0.831276651249181,292
random_10,,linear_interpolation,Linear Interpolation,NDVI_daily,0.001375082567911237,0.0002903566034469026,0.9998607660452087,289
random_10,,linear_interpolation,Linear Interpolation,NDVI_raw,0.056050275781091466,0.04480326516097455,-0.3352683133182546,12
random_10,,linear_interpolation,Linear Interpolation,precip_mm_day,13.361939332966571,7.550473669067822,-0.052525006871786406,291
random_10,,linear_interpolation,Linear Interpolation,wind_speed_ms,0.8347456023077574,0.6262439796830315,0.8403234438445923,291
random_10,,linear_interpolation,Linear Interpolation,wind_u_ms,0.7050959100899087,0.49669338562656656,0.9271322642360235,291
random_10,,linear_interpolation,Linear Interpolation,wind_v_ms,0.8225779466130153,0.573199134999745,0.8811834777764854,291
random_10,,climatological,Climatological Substitution,CHL,0.9643655124536098,0.4981784494263699,0.20942721361544314,292
random_10,,climatological,Climatological Substitution,mlotst,2.6425111745102265,2.2288245985648047,0.10153525932955199,292
random_10,,climatological,Climatological Substitution,no3,0.038933747976565604,0.02271043646232877,0.561814805034834,292
random_10,,climatological,Climatological Substitution,o2,1.5341252711666613,1.2254259931506848,0.7926952587687689,292
random_10,,climatological,Climatological Substitution,po4,0.021648850700405942,0.010974258366313784,0.514345819206986,292
random_10,,climatological,Climatological Substitution,so,0.5895665692648382,0.47603681627126754,0.4956560096807958,292
random_10,,climatological,Climatological Substitution,thetao,0.5180078195292516,0.4119330921739799,0.8294055016293204,292
random_10,,climatological,Climatological Substitution,uo,0.06359914787417643,0.05134281959489931,0.5635909069060441,292
random_10,,climatological,Climatological Substitution,vo,0.05932312800410642,0.05040191931646851,0.08617622219432963,292
random_10,,climatological,Climatological Substitution,NDVI_daily,0.10207839146962837,0.07077906481420954,0.23271759051336893,289
random_10,,climatological,Climatological Substitution,NDVI_raw,0.054187057085998434,0.04000640389586816,-0.2479700576858206,12
random_10,,climatological,Climatological Substitution,precip_mm_day,10.549595657344245,6.776534293942909,0.3439075190554505,291
random_10,,climatological,Climatological Substitution,wind_speed_ms,1.7642494894527365,1.403389445175771,0.2867317726665859,291
random_10,,climatological,Climatological Substitution,wind_u_ms,1.7465718762166316,1.385013567426338,0.5528926501168338,291
random_10,,climatological,Climatological Substitution,wind_v_ms,1.6009265541878595,1.2403131993188576,0.5499450641204897,291
random_20,,linear_interpolation,Linear Interpolation,CHL,0.7335721185980335,0.348020642923516,0.4223510630863001,584
random_20,,linear_interpolation,Linear Interpolation,mlotst,0.6327918893113077,0.2664055232039428,0.9475159847744347,584
random_20,,linear_interpolation,Linear Interpolation,no3,0.007901860734593305,0.003340914684275114,0.9843444853087686,584
random_20,,linear_interpolation,Linear Interpolation,o2,0.1629209417378999,0.10241749372146176,0.9977236816788315,584
random_20,,linear_interpolation,Linear Interpolation,po4,0.0004166770053994334,0.00016143183606934954,0.9998328843024428,584
random_20,,linear_interpolation,Linear Interpolation,so,0.07844128213033244,0.040949673267489606,0.9896631637788745,584
random_20,,linear_interpolation,Linear Interpolation,thetao,0.12250992669361117,0.08918045669959937,0.9906609030913921,584
random_20,,linear_interpolation,Linear Interpolation,uo,0.030552353242767744,0.021528840041081476,0.8894713500183113,584
random_20,,linear_interpolation,Linear Interpolation,vo,0.02617058487437496,0.01644841982498254,0.8158334587218192,584
random_20,,linear_interpolation,Linear Interpolation,NDVI_daily,0.003227816211204664,0.0003521896306736982,0.9992783481260565,578
random_20,,linear_interpolation,Linear Interpolation,NDVI_raw,0.10872308652056852,0.07398731555354719,-0.900410805242019,24
random_20,,linear_interpolation,Linear Interpolation,precip_mm_day,11.136996091519649,6.444834867993851,-0.1992741008464809,582
random_20,,linear_interpolation,Linear Interpolation,wind_speed_ms,0.7992754792982442,0.5802145188653653,0.8219350207571334,582
random_20,,linear_interpolation,Linear Interpolation,wind_u_ms,0.8084595232226371,0.5678608743278966,0.8990717127461346,582
random_20,,linear_interpolation,Linear Interpolation,wind_v_ms,1.039788945451749,0.6280602966561287,0.8018548661411845,582
random_20,,climatological,Climatological Substitution,CHL,0.8644239283367449,0.4931449082191781,0.19789373971923974,584
random_20,,climatological,Climatological Substitution,mlotst,2.577866737144044,2.1783305725484627,0.12898392495542077,584
random_20,,climatological,Climatological Substitution,no3,0.04139489328862461,0.02324679289109589,0.5703625380866095,584
random_20,,climatological,Climatological Substitution,o2,1.6226738616423328,1.289744516267124,0.774190790025175,584
random_20,,climatological,Climatological Substitution,po4,0.021283002577267066,0.010803708194974528,0.5640025263893094,584
random_20,,climatological,Climatological Substitution,so,0.5813893411327753,0.47063483760037544,0.4321516099866969,584
random_20,,climatological,Climatological Substitution,thetao,0.5430309348457235,0.4355454824159996,0.8165103959721627,584
random_20,,climatological,Climatological Substitution,uo,0.06758822997736233,0.0541821122568177,0.4590866770169839,584
random_20,,climatological,Climatological Substitution,vo,0.05782617496462963,0.04922879878742529,0.10084863772752173,584
random_20,,climatological,Climatological Substitution,NDVI_daily,0.1047317022343187,0.07015147512791407,0.2402574126677729,578
random_20,,climatological,Climatological Substitution,NDVI_raw,0.05088891004762137,0.03958048307258227,0.5836579816156314,24
random_20,,climatological,Climatological Substitution,precip_mm_day,8.6916665406875,5.849300608252901,0.2695534661822556,582
random_20,,climatological,Climatological Substitution,wind_speed_ms,1.5439729740963777,1.2068585775676468,0.3355459965710329,582
random_20,,climatological,Climatological Substitution,wind_u_ms,1.740692501942658,1.3849524958883745,0.53211356073699,582
random_20,,climatological,Climatological Substitution,wind_v_ms,1.6383523854720716,1.2042479953309884,0.5080650766348451,582
rolling_origin,1,linear_interpolation,Linear Interpolation,CHL,0.6549391404745297,0.37708929352136744,0.04842723320381459,180
rolling_origin,1,linear_interpolation,Linear Interpolation,mlotst,1.4686198876412235,0.7975150191894891,0.7711140072657768,180
rolling_origin,1,linear_interpolation,Linear Interpolation,no3,0.04629569001948638,0.028803360146611716,0.0640196946939513,180
rolling_origin,1,linear_interpolation,Linear Interpolation,o2,2.5798001853560524,1.8792811648351662,0.01745303597947856,180
rolling_origin,1,linear_interpolation,Linear Interpolation,po4,0.00019723459353600871,0.00014176877779145298,0.02071961535131539,180
rolling_origin,1,linear_interpolation,Linear Interpolation,so,0.5281489832674457,0.42718772677919614,-0.21788207200061782,180
rolling_origin,1,linear_interpolation,Linear Interpolation,thetao,0.27738932717837367,0.2141609459235278,0.8707513294661977,180
rolling_origin,1,linear_interpolation,Linear Interpolation,uo,0.09028912139958911,0.06923993962438221,-0.12641895295176364,180
rolling_origin,1,linear_interpolation,Linear Interpolation,vo,0.045430676379157556,0.03371721441642593,0.33677719267882766,180
rolling_origin,1,linear_interpolation,Linear Interpolation,NDVI_daily,0.047672951229976473,0.03462105037920302,0.5398531392428771,180
rolling_origin,1,linear_interpolation,Linear Interpolation,NDVI_raw,0.09405638987802946,0.0764882958019928,-0.2472648766157961,180
rolling_origin,1,linear_interpolation,Linear Interpolation,precip_mm_day,20.0029234390893,9.041344173640447,-0.10563462577730243,180
rolling_origin,1,linear_interpolation,Linear Interpolation,wind_speed_ms,1.722595340440389,1.2970606050649147,-0.022523088564363247,180
rolling_origin,1,linear_interpolation,Linear Interpolation,wind_u_ms,2.8079314033382072,1.9746758147548022,-0.5155677920173118,180
rolling_origin,1,linear_interpolation,Linear Interpolation,wind_v_ms,2.6101936247478017,1.8098649228665369,-0.31563945566334795,180
rolling_origin,1,climatological,Climatological Substitution,CHL,0.6023914365612567,0.3798001527638889,0.194996641578994,180
rolling_origin,1,climatological,Climatological Substitution,mlotst,2.9424356358030344,2.5515806419050526,0.08121404227002316,180
rolling_origin,1,climatological,Climatological Substitution,no3,0.0600164274524667,0.04128104201236111,-0.5729896588948267,180
rolling_origin,1,climatological,Climatological Substitution,o2,1.46646648892522,1.103164333333333,0.6825133524239005,180
rolling_origin,1,climatological,Climatological Substitution,po4,0.00074219183259218,0.0003988755893013889,-12.86670314537436,180
rolling_origin,1,climatological,Climatological Substitution,so,0.7455991056063169,0.6240261622588151,-1.4271862213549098,180
rolling_origin,1,climatological,Climatological Substitution,thetao,0.3628852826404455,0.2920005897525697,0.7787999094327847,180
rolling_origin,1,climatological,Climatological Substitution,uo,0.08072059372257763,0.06433640886098145,0.09967814929061691,180
